Prompt,Ground-truth,PolyNC_prediction
Predict the Tg of the following SMILES: *CC(C)(*)C#N,119.85,103.85
Predict the Tg of the following SMILES: C(C(C)(C#N)*)*,119.85,103.85
Predict the Tg of the following SMILES: CC(*)(C*)C#N,119.85,103.85
Predict the Tg of the following SMILES: *C(C*)(C#N)C,119.85,103.85
Predict the Tg of the following SMILES: *C(C#N)(C*)C,119.85,103.85
Predict the Tg of the following SMILES: *C(C#N)(C)C*,119.85,103.85
Predict the Tg of the following SMILES: *CC(C)(*)C#N,119.85,103.85
Predict the Tg of the following SMILES: C(*)C(C)(C#N)*,119.85,103.85
Predict the Tg of the following SMILES: C(C(*)(C*)C)#N,119.85,103.85
Predict the Tg of the following SMILES: C(#N)C(*)(C)C*,119.85,103.85
Predict the Tg of the following SMILES: C(*)C(*)C(=O)OCCCCCCCCC,-58.15,-55.15
Predict the Tg of the following SMILES: *C(C*)C(OCCCCCCCCC)=O,-58.15,-65.15
Predict the Tg of the following SMILES: CCCCCCCCCOC(=O)C(C*)*,-58.15,-65.15
Predict the Tg of the following SMILES: C(CCCCCCC)COC(C(C*)*)=O,-58.15,-65.15
Predict the Tg of the following SMILES: O(C(=O)C(*)C*)CCCCCCCCC,-58.15,-56.15
Predict the Tg of the following SMILES: C(CC)CCCCCCOC(C(C*)*)=O,-58.15,-65.15
Predict the Tg of the following SMILES: *CC(*)C(OCCCCCCCCC)=O,-58.15,-65.15
Predict the Tg of the following SMILES: C(CCCCCCOC(C(*)C*)=O)CC,-58.15,-65.15
Predict the Tg of the following SMILES: C(CCC)CCCCCOC(C(C*)*)=O,-58.15,-65.15
Predict the Tg of the following SMILES: C(CCCCCCC)COC(=O)C(C*)*,-58.15,-65.15
Predict the Tg of the following SMILES: c1cc(C*)c(C#N)cc1C*,89.85,119.85
Predict the Tg of the following SMILES: C(c1c(C#N)cc(C*)cc1)*,89.85,149.85
Predict the Tg of the following SMILES: c1(C*)cc(C#N)c(C*)cc1,89.85,119.85
Predict the Tg of the following SMILES: c1cc(C*)cc(C#N)c1C*,89.85,149.85
Predict the Tg of the following SMILES: N#Cc1cc(C*)ccc1C*,89.85,149.85
Predict the Tg of the following SMILES: c1(C*)ccc(C*)cc1C#N,89.85,146.85
Predict the Tg of the following SMILES: *Cc1ccc(C*)c(C#N)c1,89.85,149.85
Predict the Tg of the following SMILES: c1(C*)ccc(C*)cc1C#N,89.85,146.85
Predict the Tg of the following SMILES: c1c(C*)cc(C#N)c(C*)c1,89.85,119.85
